764654:
 num     #instances         #bytes  class name (module)
  89:             7           1648  [Z (java.base@21-ea)
  90:            68           1632  java.security.Provider$UString (java.base@21-ea)
  91:            50           1600  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@21-ea)
  92:            50           1600  java.util.logging.LogManager$LogNode (java.logging@21-ea)
  93:            39           1560  javax.management.MBeanOperationInfo (java.management@21-ea)
  94:            62           1488  java.lang.module.ModuleDescriptor$Provides (java.base@21-ea)
  95:            62           1488  java.lang.module.ResolvedModule (java.base@21-ea)
  96:            62           1488  jdk.internal.module.SystemModuleFinders$2 (java.base@21-ea)
  97:            62           1488  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@21-ea)
  98:            61           1456  [Ljavax.management.ObjectName$Property; (java.management@21-ea)
  99:            30           1440  java.time.temporal.ChronoField (java.base@21-ea)
 100:            30           1440  java.time.temporal.ValueRange (java.base@21-ea)
 101:             1           1424  [[B (java.base@21-ea)
 102:            29           1392  java.util.TreeMap (java.base@21-ea)
 103:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@21-ea)
 104:            57           1368  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21-ea)
 105:            46           1352  [Ljavax.management.MBeanOperationInfo; (java.management@21-ea)
 106:            42           1344  javax.management.MBeanParameterInfo (java.management@21-ea)
 107:            53           1272  java.util.Arrays$ArrayList (java.base@21-ea)
 108:            53           1272  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21-ea)
 109:            50           1264  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@21-ea)
 110:            53           1192  [Ljava.lang.reflect.Constructor; (java.base@21-ea)
 111:            38           1184  [Ljava.math.BigInteger; (java.base@21-ea)
 112:            74           1184  java.util.concurrent.locks.ReentrantLock (java.base@21-ea)
 113:            49           1176  javax.management.ObjectName$Property (java.management@21-ea)
 114:            24           1152  java.util.WeakHashMap (java.base@21-ea)
 115:             1           1112  [Lsun.security.util.KnownOIDs; (java.base@21-ea)
 116:            46           1104  java.lang.management.ManagementPermission (java.management@21-ea)
 117:            17           1088  java.util.LinkedHashMap (java.base@21-ea)
 118:            27           1080  java.security.AccessControlContext (java.base@21-ea)
 119:             1           1040  [Ljava.lang.Byte; (java.base@21-ea)
 120:             1           1040  [Ljava.lang.Integer; (java.base@21-ea)
 121:             1           1040  [Ljava.lang.Long; (java.base@21-ea)
 122:             1           1040  [Ljava.lang.Short; (java.base@21-ea)
 123:            42           1008  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@21-ea)
 124:            53           1000  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21-ea)
 125:            25           1000  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@21-ea)
 126:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@21-ea)
 127:            31            992  javax.management.ObjectName (java.management@21-ea)
 128:            20            960  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21-ea)
 129:            60            960  jdk.internal.module.SystemModuleFinders$3 (java.base@21-ea)
 130:            38            928  [Ljavax.management.MBeanParameterInfo; (java.management@21-ea)
 131:            29            928  java.util.Locale (java.base@21-ea)
 132:            29            928  sun.util.locale.BaseLocale (java.base@21-ea)
 133:            23            920  java.lang.Thread$FieldHolder (java.base@21-ea)
 134:            23            920  java.lang.reflect.AccessFlag (java.base@21-ea)
 135:            20            912  [Ljava.lang.reflect.Field; (java.base@21-ea)
 136:            19            912  javax.management.openmbean.ArrayType (java.management@21-ea)
 137:            16            896  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@21-ea)
 138:            37            888  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21-ea)
 139:             2            864  [Ljava.time.LocalDateTime; (java.base@21-ea)
 140:            18            864  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21-ea)
 141:            53            848  sun.reflect.generics.tree.ClassTypeSignature (java.base@21-ea)
 142:            21            840  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21-ea)
 143:            26            832  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@21-ea)
 144:            14            784  java.util.logging.Logger (java.logging@21-ea)
 145:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@21-ea)
 146:            31            744  java.security.Provider$EngineDescription (java.base@21-ea)
 147:            13            728  javax.management.openmbean.CompositeType (java.management@21-ea)
 148:            45            720  java.util.HashMap$EntrySet (java.base@21-ea)
 149:            30            720  java.util.ImmutableCollections$ListN (java.base@21-ea)
 150:            18            720  sun.reflect.generics.repository.MethodRepository (java.base@21-ea)
 151:            17            712  [Ljava.lang.invoke.MethodType; (java.base@21-ea)
 152:            22            704  java.lang.reflect.ClassFileFormatVersion (java.base@21-ea)
 153:             7            680  [D (java.base@21-ea)
 154:            23            672  [Ljava.io.ObjectStreamField; (java.base@21-ea)
 155:            12            672  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@21-ea)
 156:            28            672  java.util.Collections$SingletonList (java.base@21-ea)
 157:            30            664  [Ljava.lang.reflect.Type; (java.base@21-ea)
 158:            27            648  com.sun.jmx.mbeanserver.NamedObject (java.management@21-ea)
 159:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@21-ea)
 160:            26            624  java.time.LocalTime (java.base@21-ea)
 161:            26            624  java.util.jar.Attributes$Name (java.base@21-ea)
 162:             5            600  [Ljava.lang.ClassValue$Entry; (java.base@21-ea)
 163:            15            600  java.util.logging.Logger$ConfigurationData (java.logging@21-ea)
 164:            18            576  sun.reflect.generics.tree.MethodTypeSignature (java.base@21-ea)
 165:             7            560  java.util.concurrent.TimeUnit (java.base@21-ea)
 166:            14            560  javax.management.openmbean.SimpleType (java.management@21-ea)
 167:            10            560  sun.invoke.util.Wrapper (java.base@21-ea)
 168:             1            528  [Ljava.lang.Character; (java.base@21-ea)
 169:            22            528  java.lang.invoke.Invokers (java.base@21-ea)
 170:            13            520  com.sun.jmx.mbeanserver.PerInterface (java.management@21-ea)
 171:            13            520  java.lang.invoke.VarHandle$AccessDescriptor (java.base@21-ea)
 172:            23            512  [Ljavax.management.MBeanNotificationInfo; (java.management@21-ea)
 173:             8            512  java.nio.DirectByteBuffer (java.base@21-ea)
 174:            16            512  java.time.temporal.ChronoUnit (java.base@21-ea)
 175:             2            480  [Ljava.time.ZoneOffset; (java.base@21-ea)
 176:            20            480  java.lang.Class$AnnotationData (java.base@21-ea)
 177:            12            480  java.lang.OutOfMemoryError (java.base@21-ea)
 178:            12            480  java.security.ProtectionDomain (java.base@21-ea)
 179:            20            480  sun.reflect.generics.factory.CoreReflectionFactory (java.base@21-ea)
 180:            19            456  java.lang.RuntimePermission (java.base@21-ea)
 181:            14            448  java.lang.invoke.VarForm (java.base@21-ea)
 182:             8            448  sun.management.MemoryPoolImpl (java.management@21-ea)
 183:            11            440  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping (java.management@21-ea)
 184:             9            432  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@21-ea)
 185:            18            432  javax.management.StandardMBean (java.management@21-ea)
 186:            18            432  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@21-ea)
 187:            18            432  sun.reflect.generics.scope.MethodScope (java.base@21-ea)
 188:             6            416  [S (java.base@21-ea)
 189:            13            416  sun.nio.fs.UnixPath (java.base@21-ea)
 190:            17            408  java.time.Duration (java.base@21-ea)
 191:             8            384  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@21-ea)
 192:             8            384  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@21-ea)
