762911:
 num     #instances         #bytes  class name (module)
  89:            38           1824  java.lang.invoke.LambdaFormEditor$Transform (java.base@21-ea)
  90:            54           1728  java.lang.ref.ReferenceQueue (java.base@21-ea)
  91:            72           1728  java.util.regex.Pattern$BmpCharProperty (java.base@21-ea)
  92:            35           1680  java.util.TreeMap (java.base@21-ea)
  93:            68           1632  java.lang.ProcessEnvironment$Value (java.base@21-ea)
  94:            68           1632  java.lang.ProcessEnvironment$Variable (java.base@21-ea)
  95:            68           1632  java.security.Provider$UString (java.base@21-ea)
  96:            50           1600  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@21-ea)
  97:            50           1600  java.util.logging.LogManager$LogNode (java.logging@21-ea)
  98:            33           1584  java.time.temporal.ValueRange (java.base@21-ea)
  99:            39           1560  javax.management.MBeanOperationInfo (java.management@21-ea)
 100:            32           1536  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21-ea)
 101:            62           1488  java.lang.module.ModuleDescriptor$Provides (java.base@21-ea)
 102:            62           1488  java.lang.module.ResolvedModule (java.base@21-ea)
 103:            62           1488  jdk.internal.module.SystemModuleFinders$2 (java.base@21-ea)
 104:            62           1488  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@21-ea)
 105:            61           1456  [Ljavax.management.ObjectName$Property; (java.management@21-ea)
 106:            30           1440  java.time.temporal.ChronoField (java.base@21-ea)
 107:             1           1424  [[B (java.base@21-ea)
 108:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@21-ea)
 109:            57           1368  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21-ea)
 110:            46           1352  [Ljavax.management.MBeanOperationInfo; (java.management@21-ea)
 111:            42           1344  javax.management.MBeanParameterInfo (java.management@21-ea)
 112:            55           1320  java.util.Arrays$ArrayList (java.base@21-ea)
 113:            57           1288  [Ljava.lang.reflect.Constructor; (java.base@21-ea)
 114:            53           1272  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21-ea)
 115:            50           1264  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@21-ea)
 116:            38           1184  [Ljava.math.BigInteger; (java.base@21-ea)
 117:            74           1184  java.util.concurrent.locks.ReentrantLock (java.base@21-ea)
 118:            49           1176  javax.management.ObjectName$Property (java.management@21-ea)
 119:            24           1152  java.util.WeakHashMap (java.base@21-ea)
 120:            13           1144  java.util.regex.Pattern (java.base@21-ea)
 121:             1           1112  [Lsun.security.util.KnownOIDs; (java.base@21-ea)
 122:            46           1104  java.lang.management.ManagementPermission (java.management@21-ea)
 123:            27           1080  java.security.AccessControlContext (java.base@21-ea)
 124:            44           1056  java.util.regex.Pattern$GroupHead (java.base@21-ea)
 125:            44           1056  java.util.regex.Pattern$GroupTail (java.base@21-ea)
 126:             1           1040  [Ljava.lang.Byte; (java.base@21-ea)
 127:             1           1040  [Ljava.lang.Integer; (java.base@21-ea)
 128:             1           1040  [Ljava.lang.Long; (java.base@21-ea)
 129:             1           1040  [Ljava.lang.Short; (java.base@21-ea)
 130:            24           1024  [Ljava.lang.reflect.Field; (java.base@21-ea)
 131:            42           1008  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@21-ea)
 132:            53           1000  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21-ea)
 133:            25           1000  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@21-ea)
 134:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@21-ea)
 135:            31            992  javax.management.ObjectName (java.management@21-ea)
 136:            30            960  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@21-ea)
 137:            60            960  jdk.internal.module.SystemModuleFinders$3 (java.base@21-ea)
 138:            40            960  jdk.internal.reflect.DirectConstructorHandleAccessor (java.base@21-ea)
 139:            38            928  [Ljavax.management.MBeanParameterInfo; (java.management@21-ea)
 140:            29            928  java.util.Locale (java.base@21-ea)
 141:            29            928  sun.util.locale.BaseLocale (java.base@21-ea)
 142:            23            920  java.lang.Thread$FieldHolder (java.base@21-ea)
 143:            23            920  java.lang.reflect.AccessFlag (java.base@21-ea)
 144:            19            912  javax.management.openmbean.ArrayType (java.management@21-ea)
 145:            16            896  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@21-ea)
 146:             2            864  [Ljava.time.LocalDateTime; (java.base@21-ea)
 147:            18            864  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@21-ea)
 148:            53            848  sun.reflect.generics.tree.ClassTypeSignature (java.base@21-ea)
 149:            21            840  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21-ea)
 150:            26            832  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@21-ea)
 151:             6            816  picocli.CommandLine$Model$OptionSpec
 152:            14            784  java.util.logging.Logger (java.logging@21-ea)
 153:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@21-ea)
 154:            24            768  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@21-ea)
 155:            47            752  java.util.HashMap$EntrySet (java.base@21-ea)
 156:            31            744  java.security.Provider$EngineDescription (java.base@21-ea)
 157:            31            744  java.util.ImmutableCollections$ListN (java.base@21-ea)
 158:            23            736  picocli.CommandLine$Help$Ansi$Style
 159:            13            728  javax.management.openmbean.CompositeType (java.management@21-ea)
 160:            18            720  java.time.format.DateTimeFormatter (java.base@21-ea)
 161:            30            720  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@21-ea)
 162:            18            720  sun.reflect.generics.repository.MethodRepository (java.base@21-ea)
 163:            17            712  [Ljava.lang.invoke.MethodType; (java.base@21-ea)
 164:            22            704  java.lang.reflect.ClassFileFormatVersion (java.base@21-ea)
 165:            44            704  java.util.regex.Pattern$$Lambda/0x80000002a (java.base@21-ea)
 166:             7            680  [D (java.base@21-ea)
 167:            23            672  [Ljava.io.ObjectStreamField; (java.base@21-ea)
 168:            12            672  java.lang.invoke.DirectMethodHandle$StaticAccessor (java.base@21-ea)
 169:            28            672  java.util.Collections$SingletonList (java.base@21-ea)
 170:            21            672  java.util.regex.Pattern$Branch (java.base@21-ea)
 171:            30            664  [Ljava.lang.reflect.Type; (java.base@21-ea)
 172:            27            648  com.sun.jmx.mbeanserver.NamedObject (java.management@21-ea)
 173:            20            640  java.util.regex.Pattern$Curly (java.base@21-ea)
 174:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@21-ea)
 175:            26            624  java.time.LocalTime (java.base@21-ea)
 176:            26            624  java.util.jar.Attributes$Name (java.base@21-ea)
 177:             5            600  [Ljava.lang.ClassValue$Entry; (java.base@21-ea)
 178:            15            600  java.util.logging.Logger$ConfigurationData (java.logging@21-ea)
 179:            24            576  java.lang.Class$AnnotationData (java.base@21-ea)
 180:            24            576  java.lang.invoke.Invokers (java.base@21-ea)
 181:            18            576  sun.reflect.generics.tree.MethodTypeSignature (java.base@21-ea)
 182:             7            560  java.util.concurrent.TimeUnit (java.base@21-ea)
 183:            14            560  javax.management.openmbean.SimpleType (java.management@21-ea)
 184:            10            560  sun.invoke.util.Wrapper (java.base@21-ea)
 185:             1            528  [Ljava.lang.Character; (java.base@21-ea)
 186:            22            528  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21-ea)
 187:            13            520  com.sun.jmx.mbeanserver.PerInterface (java.management@21-ea)
 188:            13            520  java.security.ProtectionDomain (java.base@21-ea)
 189:            23            512  [Ljavax.management.MBeanNotificationInfo; (java.management@21-ea)
 190:             8            512  java.nio.DirectByteBuffer (java.base@21-ea)
 191:            16            512  java.time.temporal.ChronoUnit (java.base@21-ea)
 192:            21            504  [Ljava.util.regex.Pattern$Node; (java.base@21-ea)
 193:            21            504  java.util.AbstractMap$SimpleImmutableEntry (java.base@21-ea)
 194:            21            504  java.util.Collections$UnmodifiableRandomAccessList (java.base@21-ea)
 195:             2            480  [Ljava.time.ZoneOffset; (java.base@21-ea)
 196:            12            480  java.lang.OutOfMemoryError (java.base@21-ea)
 197:            20            480  sun.reflect.generics.factory.CoreReflectionFactory (java.base@21-ea)
 198:            19            456  java.lang.RuntimePermission (java.base@21-ea)
 199:            19            456  java.time.Duration (java.base@21-ea)
 200:            19            456  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@21-ea)
 201:            14            448  java.lang.invoke.VarForm (java.base@21-ea)
 202:             8            448  sun.management.MemoryPoolImpl (java.management@21-ea)
 203:            11            440  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping (java.management@21-ea)
 204:            11            440  java.lang.invoke.VarHandle$AccessDescriptor (java.base@21-ea)
 205:             9            432  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@21-ea)
 206:            18            432  javax.management.StandardMBean (java.management@21-ea)
 207:            18            432  picocli.CommandLine$BuiltIn$ReflectionConverter
 208:            18            432  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@21-ea)
 209:            18            432  sun.reflect.generics.scope.MethodScope (java.base@21-ea)
 210:             6            416  [S (java.base@21-ea)
 211:            13            416  sun.nio.fs.UnixPath (java.base@21-ea)
 212:            10            400  java.lang.WeakPairMap$Pair$Weak (java.base@21-ea)
 213:             8            384  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@21-ea)
 214:             8            384  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@21-ea)
 215:            12            384  sun.security.jca.ProviderConfig (java.base@21-ea)
 216:            21            360  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@21-ea)
 217:             3            360  java.io.ObjectStreamClass (java.base@21-ea)
 218:             9            360  java.security.CodeSource (java.base@21-ea)
 219:            21            352  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@21-ea)
 220:            11            352  javax.management.MBeanNotificationInfo (java.management@21-ea)
 221:            18            336  [Ljavax.management.MBeanConstructorInfo; (java.management@21-ea)
 222:             5            336  [Lsun.invoke.util.Wrapper; (java.base@21-ea)
 223:             6            336  java.nio.DirectLongBufferU (java.base@21-ea)
 224:             7            336  java.util.Hashtable (java.base@21-ea)
 225:            21            336  java.util.regex.Pattern$BranchConn (java.base@21-ea)
 226:            18            328  [Lsun.reflect.generics.tree.TypeSignature; (java.base@21-ea)
 227:             8            320  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@21-ea)
 228:             7            320  [Ljava.util.Hashtable$Entry; (java.base@21-ea)
 229:             8            320  java.io.FileDescriptor (java.base@21-ea)
 230:            10            320  java.lang.WeakPairMap$Pair$Weak$1 (java.base@21-ea)
 231:             8            320  java.util.regex.Pattern$Loop (java.base@21-ea)
 232:            10            320  jdk.internal.logger.LazyLoggers$LazyLoggerAccessor (java.base@21-ea)
 233:             8            320  sun.management.MemoryPoolImpl$CollectionSensor (java.management@21-ea)
 234:             8            320  sun.management.MemoryPoolImpl$PoolSensor (java.management@21-ea)
 235:            10            320  sun.util.locale.BaseLocale$Key (java.base@21-ea)
 236:            19            304  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@21-ea)
 237:             2            304  picocli.CommandLine$Model$CommandSpec
 238:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@21-ea)
 239:             9            288  java.lang.ClassValue$Entry (java.base@21-ea)
 240:             6            288  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@21-ea)
 241:            12            288  java.time.Month (java.base@21-ea)
 242:             9            288  java.util.Collections$UnmodifiableMap (java.base@21-ea)
 243:             9            288  java.util.Hashtable$Entry (java.base@21-ea)
 244:            12            288  java.util.concurrent.atomic.AtomicLong (java.base@21-ea)
 245:             9            288  java.util.logging.Level (java.logging@21-ea)
 246:             9            288  java.util.logging.Level$KnownLevel (java.logging@21-ea)
 247:            12            288  java.util.regex.Pattern$CharPropertyGreedy (java.base@21-ea)
 248:             6            288  java.util.stream.StreamOpFlag (java.base@21-ea)
 249:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@21-ea)
 250:             9            288  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@21-ea)
 251:             9            288  jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl (java.base@21-ea)
 252:             9            288  sun.util.logging.PlatformLogger$Level (java.base@21-ea)
 253:             5            280  java.util.Properties (java.base@21-ea)
 254:             7            280  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@21-ea)
 255:             5            280  sun.util.calendar.ZoneInfo (java.base@21-ea)
 256:             2            272  picocli.CommandLine$Model$UsageMessageSpec
 257:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@21-ea)
 258:             4            256  java.lang.ClassValue$ClassValueMap (java.base@21-ea)
 259:             8            256  java.lang.invoke.SimpleMethodHandle (java.base@21-ea)
 260:             8            256  java.net.InetAddress$InetAddressHolder (java.base@21-ea)
 261:             4            256  java.net.URL (java.base@21-ea)
 262:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@21-ea)
 263:             5            240  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@21-ea)
 264:             6            240  java.lang.invoke.LambdaForm$BasicType (java.base@21-ea)
 265:            10            240  java.nio.charset.CoderResult (java.base@21-ea)
 266:            10            240  java.nio.file.StandardOpenOption (java.base@21-ea)
 267:             6            240  java.util.EnumMap (java.base@21-ea)
 268:            10            240  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@21-ea)
 269:             3            240  jdk.internal.reflect.DelegatingClassLoader (java.base@21-ea)
 270:             7            224  java.lang.System$Logger$Level (java.base@21-ea)
 271:             4            224  java.nio.HeapByteBuffer (java.base@21-ea)
 272:            14            224  java.util.concurrent.atomic.AtomicInteger (java.base@21-ea)
 273:             7            224  jdk.internal.loader.NativeLibraries (java.base@21-ea)
 274:             7            224  picocli.CommandLine$Range
 275:             9            216  java.lang.reflect.AccessFlag$Location (java.base@21-ea)
 276:             9            216  java.util.regex.Pattern$Dollar (java.base@21-ea)
 277:             3            216  sun.security.provider.NativePRNG$RandomIO (java.base@21-ea)
 278:            13            208  [Ljava.security.Principal; (java.base@21-ea)
 279:            13            208  java.security.ProtectionDomain$Key (java.base@21-ea)
 280:            13            208  java.util.regex.Pattern$BitClass (java.base@21-ea)
 281:             5            200  java.util.IdentityHashMap (java.base@21-ea)
 282:             5            200  sun.rmi.transport.tcp.TCPEndpoint (java.rmi@21-ea)
 283:             5            200  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@21-ea)
 284:             5            200  sun.util.resources.Bundles$BundleReference (java.base@21-ea)
 285:             6            192  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping (java.management@21-ea)
 286:             4            192  java.io.ClassCache$CacheRef (java.base@21-ea)
 287:             6            192  java.io.File (java.base@21-ea)
 288:             4            192  java.lang.ThreadGroup (java.base@21-ea)
 289:             8            192  java.net.NetPermission (java.base@21-ea)
 290:             3            192  java.nio.DirectByteBufferR (java.base@21-ea)
 291:             6            192  java.time.format.TextStyle (java.base@21-ea)
 292:            12            192  java.util.Collections$SingletonSet (java.base@21-ea)
 293:             6            192  java.util.ImmutableCollections$MapN (java.base@21-ea)
 294:             8            192  java.util.LinkedHashMap$LinkedKeySet (java.base@21-ea)
 295:             8            192  java.util.LinkedHashMap$LinkedValues (java.base@21-ea)
 296:             6            192  java.util.RegularEnumSet (java.base@21-ea)
 297:             8            192  java.util.regex.Pattern$Prolog (java.base@21-ea)
 298:             8            192  java.util.regex.Pattern$Slice (java.base@21-ea)
 299:             6            192  javax.management.StandardEmitterMBean (java.management@21-ea)
 300:             6            192  jdk.internal.reflect.MethodHandleBooleanFieldAccessorImpl (java.base@21-ea)
 301:             8            192  sun.rmi.runtime.Log$LoggerLog (java.rmi@21-ea)
 302:            11            176  java.util.Collections$UnmodifiableSet (java.base@21-ea)
 303:             1            168  [[Ljava.math.BigInteger; (java.base@21-ea)
 304:             7            168  com.sun.jmx.remote.util.ClassLogger (java.management@21-ea)
 305:             3            168  java.io.FileCleanable (java.base@21-ea)
